"","Canopy Class","Canopy Height","Max Height","Bare","Wrack/Thatch","Treatment","Material","Soil Depth","Date","TransectCode","QuadratID","Scientific Name","Common Name","Code","Status","Grass/Forb","Annual/Perennial","Presence","HeightClass"
"899","M","2",NA,"C","R","Straw","Compost","2",2017-06-21,"AS12","U","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"956","C","4",NA,"C","R","Rake","Hybrid","3",2017-06-21,"AS13","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","4"
"999","C","4",NA,"C","R","Rake","Hybrid","3",2017-06-21,"AS13","T1","Grasses",NA,"GRASS",NA,"Grass","A/P","R","1"
"1004","C","4",NA,"C","R","Rake","Hybrid","3",2017-06-21,"AS13","T1","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"1012","C","4",NA,"C","R","Rake","Hybrid","3",2017-06-21,"AS13","T1","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"1061","C","4",NA,"C","R","Rake","Hybrid","3",2017-06-21,"AS13","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","4"
"1097","C","4",NA,"C","R","Rake","Hybrid","3",2017-06-21,"AS13","T2","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","U","2"
"1166","M","3",NA,"C","R","Rake","Hybrid","3",2017-06-21,"AS13","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","3"
"1202","M","3",NA,"C","R","Rake","Hybrid","3",2017-06-21,"AS13","U","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"1222","M","3",NA,"C","R","Rake","Hybrid","3",2017-06-21,"AS13","U","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"1271","M","2",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS14","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","1"
"1307","M","2",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS14","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"1365","M","2",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS14","T1","Tetragonia tetragonioides","New Zealand spinach","TETE","Weed","Forb","A","R","1"
"1376","M","4",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS14","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","3"
"1481","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS14","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"1515","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS14","U","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","U","1"
"1517","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS14","U","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"1529","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS14","U","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"1537","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS14","U","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","U","1"
"1549","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS14","U","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","U","1"
"1586","M","2",NA,"C","R","Rake","Organic","3",2017-06-21,"AS15","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","2"
"1620","M","2",NA,"C","R","Rake","Organic","3",2017-06-21,"AS15","T1","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","U","1"
"1622","M","2",NA,"C","R","Rake","Organic","3",2017-06-21,"AS15","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"1634","M","2",NA,"C","R","Rake","Organic","3",2017-06-21,"AS15","T1","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"1691","L","1",NA,"C","R","Rake","Organic","3",2017-06-21,"AS15","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","R","1"
"1725","L","1",NA,"C","R","Rake","Organic","3",2017-06-21,"AS15","T2","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","C","1"
"1735","L","1",NA,"C","R","Rake","Organic","3",2017-06-21,"AS15","T2","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"1739","L","1",NA,"C","R","Rake","Organic","3",2017-06-21,"AS15","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"1789","L","1",NA,"C","R","Rake","Organic","3",2017-06-21,"AS15","U","Ambrosia psilostachya","western ragweed","AMPS","Native","Forb","P","R","1"
"1796","L","1",NA,"C","R","Rake","Organic","3",2017-06-21,"AS15","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"1830","L","1",NA,"C","R","Rake","Organic","3",2017-06-21,"AS15","U","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","U","1"
"1832","L","1",NA,"C","R","Rake","Organic","3",2017-06-21,"AS15","U","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"1844","L","1",NA,"C","R","Rake","Organic","3",2017-06-21,"AS15","U","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"1852","L","1",NA,"C","R","Rake","Organic","3",2017-06-21,"AS15","U","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"1901","M","4",NA,"C","R","Straw","Compost","3",2017-06-21,"AS16","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","4"
"1937","M","4",NA,"C","R","Straw","Compost","3",2017-06-21,"AS16","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"1982","M","4",NA,"C","R","Straw","Compost","3",2017-06-21,"AS16","T1","Salicornia pacifica","perennial pickleweed","SAPA","Native","Forb","P","R","3"
"2006","C","4",NA,"C","R","Straw","Compost","3",2017-06-21,"AS16","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","4"
"2062","C","4",NA,"C","R","Straw","Compost","3",2017-06-21,"AS16","T2","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","U","2"
"2111","M","4",NA,"C","R","Straw","Compost","3",2017-06-21,"AS16","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","4"
"2167","M","4",NA,"C","R","Straw","Compost","3",2017-06-21,"AS16","U","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"2216","M","4",NA,"C","R","Rake","Hybrid","1",2017-06-21,"AS17","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","4"
"2259","M","4",NA,"C","R","Rake","Hybrid","1",2017-06-21,"AS17","T1","Grasses",NA,"GRASS",NA,"Grass","A/P","R","2"
"2321","M","3",NA,"C","R","Rake","Hybrid","1",2017-06-21,"AS17","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","2"
"2426","L","1",NA,"C","R","Rake","Hybrid","1",2017-06-21,"AS17","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"2531","M","3",NA,"C","R","Straw","Organic","2",2017-06-21,"AS18","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"2565","M","3",NA,"C","R","Straw","Organic","2",2017-06-21,"AS18","T1","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"2612","M","3",NA,"C","R","Straw","Organic","2",2017-06-21,"AS18","T1","Salicornia pacifica","perennial pickleweed","SAPA","Native","Forb","P","U","1"
"2636","M","4",NA,"C","R","Straw","Organic","2",2017-06-21,"AS18","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","4"
"2672","M","4",NA,"C","R","Straw","Organic","2",2017-06-21,"AS18","T2","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"2684","M","4",NA,"C","R","Straw","Organic","2",2017-06-21,"AS18","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"2692","M","4",NA,"C","R","Straw","Organic","2",2017-06-21,"AS18","T2","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","2"
"2704","M","4",NA,"C","R","Straw","Organic","2",2017-06-21,"AS18","T2","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","R","1"
"2734","L","1",NA,"C","R","Straw","Organic","2",2017-06-21,"AS18","U","Ambrosia psilostachya","western ragweed","AMPS","Native","Forb","P","R","1"
"2741","L","1",NA,"C","R","Straw","Organic","2",2017-06-21,"AS18","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","R","1"
"2785","L","1",NA,"C","R","Straw","Organic","2",2017-06-21,"AS18","U","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"2789","L","1",NA,"C","R","Straw","Organic","2",2017-06-21,"AS18","U","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"2846","C","4",NA,"C","R","Rake","Compost","3",2017-06-21,"AS19","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","4"
"2951","M","4",NA,"C","R","Rake","Compost","3",2017-06-21,"AS19","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","4"
"2999","M","4",NA,"C","R","Rake","Compost","3",2017-06-21,"AS19","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"3007","M","4",NA,"C","R","Rake","Compost","3",2017-06-21,"AS19","T2","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","U","1"
"3019","M","4",NA,"C","R","Rake","Compost","3",2017-06-21,"AS19","T2","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","U","1"
"3056","M","2",NA,"C","R","Rake","Compost","3",2017-06-21,"AS19","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","2"
"3092","M","2",NA,"C","R","Rake","Compost","3",2017-06-21,"AS19","U","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"3112","M","2",NA,"C","R","Rake","Compost","3",2017-06-21,"AS19","U","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"3124","M","2",NA,"C","R","Rake","Compost","3",2017-06-21,"AS19","U","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","U","1"
"3161","M","2",NA,"C","R","Straw","Hybrid","1",2017-06-21,"AS20","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","2"
"3204","M","2",NA,"C","R","Straw","Hybrid","1",2017-06-21,"AS20","T1","Grasses",NA,"GRASS",NA,"Grass","A/P","R","1"
"3242","M","2",NA,"C","R","Straw","Hybrid","1",2017-06-21,"AS20","T1","Salicornia pacifica","perennial pickleweed","SAPA","Native","Forb","P","U","2"
"3266","M","4",NA,"C","R","Straw","Hybrid","1",2017-06-21,"AS20","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","4"
"3347","M","4",NA,"C","R","Straw","Hybrid","1",2017-06-21,"AS20","T2","Salicornia pacifica","perennial pickleweed","SAPA","Native","Forb","P","U","3"
"3350","M","4",NA,"C","R","Straw","Hybrid","1",2017-06-21,"AS20","T2","Salsola sp","Tumbleweed","Salsola","Weed",NA,NA,"R","1"
"3371","L","1",NA,"C","R","Straw","Hybrid","1",2017-06-21,"AS20","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"3415","L","1",NA,"C","R","Straw","Hybrid","1",2017-06-21,"AS20","U","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"3419","L","1",NA,"C","R","Straw","Hybrid","1",2017-06-21,"AS20","U","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"3476","L","1",NA,"C","R","Rake","Organic","2",2017-06-21,"AS21","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"3510","L","1",NA,"C","R","Rake","Organic","2",2017-06-21,"AS21","T1","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"3544","L","1",NA,"C","R","Rake","Organic","2",2017-06-21,"AS21","T1","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","C","1"
"3581","M","3",NA,"C","R","Rake","Organic","2",2017-06-21,"AS21","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","3"
"3615","M","3",NA,"C","R","Rake","Organic","2",2017-06-21,"AS21","T2","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"3617","M","3",NA,"C","R","Rake","Organic","2",2017-06-21,"AS21","T2","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"3624","M","3",NA,"C","R","Rake","Organic","2",2017-06-21,"AS21","T2","Grasses",NA,"GRASS",NA,"Grass","A/P","R","3"
"3629","M","3",NA,"C","R","Rake","Organic","2",2017-06-21,"AS21","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"3675","M","3",NA,"C","R","Rake","Organic","2",2017-06-21,"AS21","T2","Tetragonia tetragonioides","New Zealand spinach","TETE","Weed","Forb","A","U","2"
"3686","L","1",NA,"C","R","Rake","Organic","2",2017-06-21,"AS21","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","R","1"
"3722","L","1",NA,"C","R","Rake","Organic","2",2017-06-21,"AS21","U","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"3742","L","1",NA,"C","R","Rake","Organic","2",2017-06-21,"AS21","U","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"3754","L","1",NA,"C","R","Rake","Organic","2",2017-06-21,"AS21","U","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","R","1"
"3791","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS22","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"3834","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS22","T1","Grasses",NA,"GRASS",NA,"Grass","A/P","R","1"
"3859","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS22","T1","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","C","1"
"3896","M","3",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS22","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","3"
"3930","M","3",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS22","T2","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","U","2"
"3932","M","3",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS22","T2","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","2"
"3944","M","3",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS22","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","2"
"3994","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS22","U","Ambrosia psilostachya","western ragweed","AMPS","Native","Forb","P","R","1"
"4035","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS22","U","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","U","1"
"4044","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS22","U","Grasses",NA,"GRASS",NA,"Grass","A/P","R","1"
"4045","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS22","U","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"4048","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS22","U","Hirschfeldia incana","hoary mustard","HIIN","Weed","Forb","P","R","1"
"4069","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-21,"AS22","U","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","R","1"
"4100","M","2",NA,"C","R","Rake","Hybrid","1",2017-06-21,"AS23","T1","Amsinckia intermedia","fiddleneck","AMIN","Native","Forb","A","R","1"
"4106","M","2",NA,"C","R","Rake","Hybrid","1",2017-06-21,"AS23","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","R","1"
"4140","M","2",NA,"C","R","Rake","Hybrid","1",2017-06-21,"AS23","T1","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"4174","M","2",NA,"C","R","Rake","Hybrid","1",2017-06-21,"AS23","T1","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","R","1"
"4200","M","2",NA,"C","R","Rake","Hybrid","1",2017-06-21,"AS23","T1","Tetragonia tetragonioides","New Zealand spinach","TETE","Weed","Forb","A","U","1"
"4211","L","1",NA,"C","R","Rake","Hybrid","1",2017-06-21,"AS23","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","R","1"
"4221","L","1",NA,"C","R","Rake","Hybrid","1",2017-06-21,"AS23","T2","Bromus madritensis","foxtail chess","BRMA","Weed","Grass","A","R","1"
"4305","L","1",NA,"C","R","Rake","Hybrid","1",2017-06-21,"AS23","T2","Tetragonia tetragonioides","New Zealand spinach","TETE","Weed","Forb","A","U","1"
"4350","L","1",NA,"C","R","Rake","Hybrid","1",2017-06-21,"AS23","U","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"4352","L","1",NA,"C","R","Rake","Hybrid","1",2017-06-21,"AS23","U","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"4364","L","1",NA,"C","R","Rake","Hybrid","1",2017-06-21,"AS23","U","Hordeum depressum","alkali brome","HODE","Native","Grass","A","U","1"
"4384","L","1",NA,"C","R","Rake","Hybrid","1",2017-06-21,"AS23","U","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","U","1"
"4414","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","T1","Ambrosia psilostachya","western ragweed","AMPS","Native","Forb","P","R","1"
"4415","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","T1","Amsinckia intermedia","fiddleneck","AMIN","Native","Forb","A","U","1"
"4457","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"4469","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","T1","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"4520","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","T2","Amsinckia intermedia","fiddleneck","AMIN","Native","Forb","A","R","1"
"4569","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","T2","Grasses",NA,"GRASS",NA,"Grass","A/P","R","1"
"4574","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"4625","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","U","Amsinckia intermedia","fiddleneck","AMIN","Native","Forb","A","R","1"
"4631","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","1"
"4665","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","U","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"4674","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","U","Grasses",NA,"GRASS",NA,"Grass","A/P","R","1"
"4736","M","2",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","3"
"4737","M","2",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","T1","Atriplex semibaccata","Australian saltbush","ATSE","Weed","Forb","P","R","1"
"4772","M","2",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","U","1"
"4784","M","2",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","T1","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"4795","M","2",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","T1","Limonium californicum","California sea lavender","LICA","Native","Forb","P","R","1"
"4841","M","3",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","4"
"4877","M","3",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","T2","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","2"
"4889","M","3",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","2"
"4939","M","1",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","U","Ambrosia psilostachya","western ragweed","AMPS","Native","Forb","P","R","1"
"4940","M","1",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","U","Amsinckia intermedia","fiddleneck","AMIN","Native","Forb","A","C","1"
"4946","M","1",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"4982","M","1",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","U","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","U","1"
"4990","M","1",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","U","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"4994","M","1",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","U","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"5040","M","1",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","U","Tetragonia tetragonioides","New Zealand spinach","TETE","Weed","Forb","A","R","1"
"5045","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T1","Amsinckia intermedia","fiddleneck","AMIN","Native","Forb","A","R","1"
"5060","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T1","Bromus hordeaceus","soft brome","BRHO","Weed","Grass","A","R","1"
"5067","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T1","Centromadia pungens","common spikeweed","CEPU","Native","Forb","A","U","1"
"5081","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T1","Eriogonum fasciculatum","California buckwheat","ERFA","Native","Forb","P","R","1"
"5085","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T1","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"5087","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"5095","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T1","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
